,teamID,Q,time,totTime,down,distance,side,yard,play,gameID,S,awayTeam,homeTeam,teamPoss,dist2goal,awayScore,homeScore
0,1,1,15:00,3600,,,BAL,35,"Small, J. kicks off. The kick sails into the endzone. Walker (R), M. brings it out of the endzone! Walker (R), M. takes it down the middle. Walker (R), M. is finally brought down. A 34 yard return. First Down!",15,5,YKW,BAL,BAL,65,0,0
1,2,1,14:50,3590,1,10,YKW,34,"Rush by Z, D. for 1 yds. Tackle by Kennedy, D..",15,5,YKW,BAL,YKW,66,0,0
2,2,1,14:19,3559,2,8,YKW,36,"Pass by Jack, C., complete to Z, D. for 2 yds. Tackle by De Ville (C), D..",15,5,YKW,BAL,YKW,64,0,0
3,2,1,13:37,3517,3,5,YKW,38,"Jack, C. is SACKED by Matt Hole - DE for -7 yds.",15,5,YKW,BAL,YKW,62,0,0
4,2,1,13:10,3490,4,13,BAL,31,"Punt by Kokot (R), B. of 57 yards.  No return. First Down!",15,5,YKW,BAL,BAL,69,0,0
5,1,1,13:04,3484,1,10,BAL,12,"Pass by Fujiwara (C), C., complete to Howlett (R), D. for 21 yds. Tackle by Leonard, M.. First Down!",15,5,YKW,BAL,BAL,88,0,0
6,1,1,12:17,3437,1,10,BAL,33,"Rush by Fukushu, M. for 9 yds. Tackle by Thomaslacher (R), B..",15,5,YKW,BAL,BAL,67,0,0
7,1,1,11:44,3404,2,1.0,BAL,42,"Rush by Covey, J. for 5 yds. Tackle by Thomaslacher (R), B.. First Down!",15,5,YKW,BAL,BAL,58,0,0
8,1,1,11:17,3377,1,10,BAL,48,"Pass by Fujiwara (C), C., complete to Campbell (R), J. for 19 yds. Tackle by Foster (R), D.. First Down!",15,5,YKW,BAL,BAL,52,0,0
9,1,1,10:27,3327,1,10,YKW,32,"Pass by Fujiwara (C), C., complete to Howlett (R), D. for 18 yds. Tackle by Hellzapoppin, J.. Yellowknife Penalty on Cho, J.: Unsportsmanlike Conduct. First Down!",15,5,YKW,BAL,BAL,32,0,0
10,1,1,10:03,3303,1,7,YKW,7,"Rush by Fukushu, M. for 5 yds. Tackle by Thomaslacher (R), B..",15,5,YKW,BAL,BAL,7,0,0
11,1,1,9:36,3276,2,1,YKW,1,Rush by Mai Fukushu for 1 yds. TOUCHDOWN!  (Small kick good),15,5,YKW,BAL,BAL,1,0,7
12,1,1,9:27,3267,,,YKW,35,"Kickoff by Small, J. of 65 yards. Leonard, M. takes it down the middle. Leonard, M. is finally brought down. A 35 yard return. First Down!",15,5,YKW,BAL,BAL,35,0,7
13,2,1,9:18,3258,1,10,YKW,35,"Pass by Jack, C., complete to Vermillion (R), J. for a short gain. Tackle by Harris, C..",15,5,YKW,BAL,YKW,65,0,7
14,2,1,8:45,3225,2,10,YKW,35,"Rush by Z, D. for 2 yds. Tackle by Kennedy, D..",15,5,YKW,BAL,YKW,65,0,7
15,2,1,8:16,3196,3,7,YKW,38,"Pass by Jack, C., complete to Rechs (R), Z. for 4 yds. Tackle by De Ville (C), D..",15,5,YKW,BAL,YKW,62,0,7
16,2,1,7:42,3162,4,3,BAL,42,"Punt by Kokot (R), B. of 57 yards.  Touchback.",15,5,YKW,BAL,BAL,58,0,7
17,1,1,7:37,3157,1,10,BAL,25,"Yellowknife Penalty on Z, D.: Neutral Zone Infraction.",15,5,YKW,BAL,BAL,75,0,7
