,Player,S,Team,Points,rush_TD,rec_TD,KR_TD,PR_TD,def_TD,XPM,FGM
0,"Bercovici, J.",1,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"Bessel, F.",1,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"Boss, M.",1,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,"Bowers Jr, V.",1,SJS,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4,"Christ, J.",1,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"Davidson, J.",1,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"Draxel, V.",1,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,"Durden, J.",1,AZ,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"Hunt, E.",1,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,"Hunt, E.",1,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,"Jenkins, L.",1,OCO,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
11,"Kyubee, S.",1,BAL,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,"Larsendorf, R.",1,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,"Mackworthy, R.",1,AZ,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,"Newman, M.",1,AZ,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"Noble, L.",1,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,"Novel, L.",1,BAL,36.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
17,"Nuck, B.",1,YKW,36.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"O'Connell, K.",1,COL,36.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
19,"Orosz, C.",1,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,"Robinson, M.",1,BAL,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
21,"Savea, A.",1,SJS,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,"Stats, J.",1,YKW,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
23,"Tiernan, L.",1,COL,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
24,"Tobin, T.",1,YKW,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"Tweed, B.",1,COL,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,"Wiley, D.",1,SJS,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
27,"Wright, O.",1,OCO,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
28,"Bennett, A.",1,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,"Bessel, F.",1,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,"Bottles, B.",1,SJS,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
31,"Bowers Jr, V.",1,SJS,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
32,"Bronko, K.",1,AZ,18.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
33,"Christmas, C.",1,BAL,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
34,"Cook, B.",1,SJS,24.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
35,"Davidson, J.",1,OCO,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
36,"Durden, J.",1,AZ,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
37,"Garden, J.",1,YKW,42.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
38,"Gucci, R.",1,COL,18.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
39,"Hargrove, M.",1,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,"Harris, J.",1,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,"Hendrix, K.",1,COL,24.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
42,"Jefferson, L.",1,AZ,36.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
43,"Jenkins, L.",1,OCO,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
44,"Larsendorf, R.",1,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,"Law, D.",1,COL,30.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
46,"LeClair, A.",1,YKW,24.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
47,"Lecavalier, R.",1,BAL,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
48,"Mackworthy, R.",1,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,"Maddox, R.",1,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,"Mademe, R.",1,SJS,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
51,"Newman, M.",1,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,"North, F.",1,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,"Novel, L.",1,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,"Nuck, B.",1,YKW,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
55,"O'Connell, K.",1,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,"Phelps, R.",1,OCO,18.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
57,"Piper, W.",1,BAL,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
58,"Robinson, M.",1,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,"Sanderson, J.",1,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,"Savea, A.",1,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"Shaloiko, J.",1,COL,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
62,"Stats, J.",1,YKW,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
63,"Stephen, W.",1,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,"Stormblessed, N.",1,AZ,42.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
65,"Tenzini, G.",1,BAL,18.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
66,"Tiernan, L.",1,COL,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
67,"Tkachuk, J.",1,AZ,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
68,"Tobin, T.",1,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,"Tweed, B.",1,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,"Vincent, M.",1,AZ,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
71,"Washington, W.",1,AZ,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
72,"Weller, B.",1,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,"West, D.",1,BAL,24.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
74,"Westfield, B.",1,OCO,48.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
75,"Weston, S.",1,SJS,18.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
76,"Wiley, D.",1,SJS,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
77,"Wright Jr, G.",1,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,"Wright, O.",1,OCO,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
79,"Bronko, K.",1,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,"Crocker, B.",1,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,"Cutter, D.",1,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,"Garden, J.",1,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,"Hansen, A.",1,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,"Hayden, A.",1,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,"Hendrix, K.",1,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,"Jenkins, L.",1,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,"Law, D.",1,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,"LeClair, A.",1,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,"Mackworthy, R.",1,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,"McNoodle, M.",1,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,"Smith, M.",1,BAL,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
92,"Stormblessed, N.",1,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,"West, D.",1,BAL,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
94,"Westfield, B.",1,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,"Weston, S.",1,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,"Wiley, D.",1,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,"Wright, O.",1,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,"Akselsen, M.",1,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,"Al Mahrouqi, K.",1,BAL,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
100,"Amir, A.",1,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,"Arthur, K.",1,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,"Asipi, A.",1,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,"Bavitz, I.",1,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,"Bender, T.",1,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,"Bigboy1, Z.",1,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,"Bigboy10, Z.",1,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,"Bigboy12, Z.",1,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,"Blade, B.",1,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,"Boss, M.",1,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,"Bowden, M.",1,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,"Bowers Jr, V.",1,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,"Brill, J.",1,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,"Broadway, E.",1,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,"Bronko, K.",1,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,"Cameron, J.",1,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,"Canton, J.",1,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,"Carter, P.",1,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,"Cox, V.",1,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,"Crocker, B.",1,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,"Cutter, D.",1,YKW,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
121,"Dam, D.",1,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,"Delacour, A.",1,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,"Devitt, R.",1,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,"Ernston, H.",1,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,"Flimjollywop, S.",1,YKW,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
126,"Flock, R.",1,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,"Floggity, J.",1,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,"Fulton, W.",1,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,"Garden, J.",1,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,"Green, B.",1,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,"Hackett, A.",1,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,"Hampshireton, R.",1,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,"Hansen, A.",1,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,"Hansen, E.",1,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,"Hardrool, C.",1,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,"Harris, F.",1,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,"Harris, F.",1,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,"Harris, J.",1,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,"Harrison, G.",1,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,"Harrison, S.",1,BAL,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
141,"Hayden, A.",1,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,"Hendrix, K.",1,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,"Jackson, M.",1,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,"Krimlaw, A.",1,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,"Kyubee, S.",1,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,"Larsendorf, R.",1,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,"Lavelle, D.",1,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,"LeClair, A.",1,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,"Leafer, S.",1,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,"Lecavalier, R.",1,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,"Lee, J.",1,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,"Lillico, J.",1,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,"Longshaw, B.",1,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,"Mackworthy, R.",1,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,"Maddox, S.",1,OCO,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
156,"Marmeladov, V.",1,COL,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
157,"McGinn, I.",1,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,"McNoodle, M.",1,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,"Metas, B.",1,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,"Metas, B.",1,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,"Miller, D.",1,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,"Mills, R.",1,COL,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
163,"Nasher, W.",1,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,"Noble, L.",1,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,"North, F.",1,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,"Novel, L.",1,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,"Nuck, B.",1,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,"Oaks, J.",1,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,"Orosz, C.",1,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,"Peterson, M.",1,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,"Petrakis, A.",1,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,"Pierce, L.",1,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,"Ramrio, M.",1,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,"Rashad, I.",1,AZ,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
175,"Reigns, J.",1,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,"Retro, G.",1,OCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,"Richter, Z.",1,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,"Rivere, H.",1,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,"Rodriguez, B.",1,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,"Saint, J.",1,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,"Sanchez, P.",1,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,"Selich, A.",1,SJS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,"Shelton, L.",1,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,"Shoate, T.",1,SJS,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
185,"Showcase, S.",1,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,"Smith, M.",1,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,"Spearhead, J.",1,YKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
