,Q,Score Type,Time Remaining,Play,BAL,ARI
1,1,TD,9:33,None Stormblessed 34 yd pass from Vincent Draxel. (Adrienne Nugent kick),0,7
2,1,TD,8:07,Khalifa Al Mahrouqi 34 yd interception return. (Turk Turkleton kick),7,7
4,2,TD,13:51,Lincoln Jefferson 10 yd pass from Vincent Draxel. (Adrienne Nugent kick),7,14
5,2,TD,4:40,Levon Novel 5 yd run. (Turk Turkleton XP no good),13,14
6,2,FG,2:04,38 yd FG by Turk Turkleton,16,14
7,2,FG,0:08,54 yd FG by Adrienne Nugent,16,17
9,3,TD,11:54,Lincoln Jefferson 27 yd pass from Vincent Draxel. (Adrienne Nugent kick),16,24
10,3,TD,1:20,Damian West 73 yd punt return. (Turk Turkleton kick),23,24
12,4,TD,13:43,Marcus Robinson 3 yd run. (2pt conversion good),31,24
13,4,TD,5:35,Jack Durden 4 yd pass from Vincent Draxel. (Adrienne Nugent kick),31,31
14,4,FG,0:28,55 yd FG by Turk Turkleton,34,31
