,Q,Score Type,Time Remaining,Play,OCO,BAL
1,1,FG,10:32,27 yd FG by Bradley Madlad,3,0
2,1,FG,4:16,38 yd FG by Turk Turkleton,3,3
3,1,FG,0:20,26 yd FG by Turk Turkleton,3,6
5,2,TD,9:22,Seer (R) Zephyrous 6 yd pass from Gus T.T. (R) Showbiz. (Bradley Madlad kick),10,6
6,2,FG,4:41,39 yd FG by Turk Turkleton,10,9
7,2,FG,1:20,42 yd FG by Bradley Madlad,13,9
9,3,FG,9:55,43 yd FG by Bradley Madlad,16,9
10,3,TD,3:04,Trey Willie 1 yd pass from Avon Blocksdale. (Turk Turkleton kick),16,16
12,4,TD,12:15,Trey Willie 7 yd pass from Avon Blocksdale. (Turk Turkleton kick),16,23
13,4,TD,5:00,Budda Browning 63 yd pass from Avon Blocksdale. (Turk Turkleton kick),16,30
14,4,FG,2:47,32 yd FG by Turk Turkleton,16,33
