Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Spaghetti, Y.",OCO,2,4,0,0
"Clipping, C.",OCO,1,10,4,0
"Holding, H.",OCO,0,0,7,1
"Falsestart, F.",OCO,0,0,3,0
"Tripping, T.",OCO,0,0,3,0
"Facemask, F.",OCO,0,0,2,1
"Adams, R.",OCO,0,0,1,0
"Zephyrous, S.",OCO,0,0,1,0
"Maddox, R.",YKW,2,15,0,0
"Amper, T.",YKW,1,8,2,0
"Rodriguez, G.",YKW,1,5,0,0
"Rchon, A.",YKW,0,0,7,0
"McPoyal, G.",YKW,0,0,3,0
"Pooky, S.",YKW,0,0,3,0
"Harris Jr., F.",YKW,0,0,2,0
"Ones, B.",YKW,0,0,2,0
"Rainey, R.",YKW,0,0,1,1
"Gore, B.",YKW,0,0,1,0
"Mushing, M.",YKW,0,0,1,0
