,Q,Score Type,Time Remaining,Play,YKW,BAL
1,1,FG,9:22,26 yd FG by Turk Turkleton,0,3
2,1,TD,7:13,Tegan Atwell 2 yd pass from Brad Pennington. (None Forfeit kick),7,3
4,2,FG,12:36,21 yd FG by Turk Turkleton,7,6
5,2,TD,10:05,Trey Willie 7 yd pass from Avon Blocksdale. (Turk Turkleton kick),7,13
6,2,FG,5:01,25 yd FG by None Forfeit,10,13
7,2,TD,1:19,Owen Taylor 2 yd run. (Turk Turkleton kick),10,20
9,3,FG,10:53,23 yd FG by None Forfeit,13,20
10,3,TD,7:46,Owen Taylor 5 yd run. (Turk Turkleton kick),13,27
12,4,FG,12:41,46 yd FG by Turk Turkleton,13,30
13,4,TD,9:52,Trey Willie 4 yd pass from Avon Blocksdale. (Turk Turkleton kick),13,37
14,4,TD,0:54,Robby Rainey 1 yd run. (None Forfeit kick),20,37
