,Q,Score Type,Time Remaining,Play,YKW,SJS
1,1,TD,7:25,Kazmir (R) Oles 25 yd pass from Mat Akselsen. (Kyle Corbett kick),0,7
2,1,TD,2:57,Dermot Lavelle 24 yd pass from Brad Pennington. (None Forfeit kick),7,7
4,2,TD,12:25,Kazmir (R) Oles 9 yd pass from Mat Akselsen. (Kyle Corbett kick),7,14
5,2,FG,8:12,31 yd FG by None Forfeit,10,14
7,3,TD,9:36,Xavier (R) Flash 5 yd pass from Mat Akselsen. (Kyle Corbett kick),10,21
8,3,TD,4:46,Kazmir (R) Oles 27 yd pass from Mat Akselsen. (Kyle Corbett kick),10,28
9,3,TD,0:13,Dermot Lavelle 14 yd pass from Brad Pennington. (None Forfeit kick),17,28
11,4,TD,10:42,Elijah (R) Lagerfield 8 yd run. (Kyle Corbett kick),17,35
12,4,TD,8:56,Mat Akselsen 5 yd run. (Kyle Corbett kick),17,42
13,4,FG,4:06,19 yd FG by None Forfeit,20,42
