,Q,Score Type,Time Remaining,Play,YKW,AZ
1,1,FG,1:22,46 yd FG by Dean Jackson,0,3
3,2,TD,11:42,Budda Browning 28 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),0,10
4,2,FG,7:34,53 yd FG by None Forfeit,3,10
5,2,TD,3:11,Balthazar Crindy 6 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),3,17
6,2,FG,0:23,42 yd FG by None Forfeit,6,17
8,3,TD,4:44,Reg Mackworthy 1 yd run. (Dean Jackson kick),6,24
9,3,TD,2:01,Reg Mackworthy 5 yd run. (Dean Jackson kick),6,31
11,4,FG,13:07,30 yd FG by None Forfeit,9,31
12,4,TD,7:15,Antonio (R) Summer 2 yd pass from Brad Pennington. (None Forfeit kick),16,31
13,4,TD,4:21,LaMarcus (R) Strike 2 yd run. (Dean Jackson kick),16,38
