,Q,Score Type,Time Remaining,Play,AZ,BAL
1,1,FG,9:40,44 yd FG by Turk Turkleton,0,3
2,1,TD,7:52,Declan Harp 10 yd pass from Ryan Applehort. (Turk Turkleton kick),0,10
3,1,TD,6:51,Owen Taylor 1 yd run. (Turk Turkleton kick),0,17
5,2,TD,12:32,Viggo Squanch 1 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),7,17
6,2,TD,2:31,Trey Willie 6 yd pass from Ryan Applehort. (Turk Turkleton kick),7,24
8,3,FG,8:11,37 yd FG by Turk Turkleton,7,27
9,3,FG,4:31,43 yd FG by Turk Turkleton,7,30
10,3,FG,0:58,32 yd FG by Dean Jackson,10,30
12,4,TD,13:28,Owen Taylor 1 yd run. (Turk Turkleton kick),10,37
13,4,TD,8:58,Viggo Squanch 20 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),17,37
14,4,TD,6:29,Ryan Applehort 76 yd run. (Turk Turkleton kick),17,44
