,Q,Score Type,Time Remaining,Play,BAL,PHI
1,1,TD,9:31,Owen Taylor 1 yd run. (Turk Turkleton kick),7,0
2,1,TD,9:01,Owen Taylor 1 yd run. (Turk Turkleton kick),14,0
3,1,TD,8:22,Antonio Summer 1 yd run. (Turk Turkleton kick),21,0
4,1,TD,2:37,Marquise Brown 3 yd pass from Adriana Falconi. (Kulture Fulture kick),21,7
6,2,TD,13:02,Vinny Valentine 1 yd pass from Childish Gambino. (Turk Turkleton kick),28,7
7,2,TD,7:10,Marquise Brown 3 yd run. (Kulture Fulture kick),28,14
8,2,FG,0:07,29 yd FG by Turk Turkleton,31,14
10,3,TD,8:08,Antonio Summer 4 yd run. (Turk Turkleton kick),38,14
11,3,FG,4:19,49 yd FG by Turk Turkleton,41,14
12,3,TD,0:52,AJ Robertson 62 yd interception return. (Kulture Fulture kick),41,21
14,4,TD,10:21,Owen Taylor 1 yd run. (Turk Turkleton kick),48,21
15,4,FG,2:44,38 yd FG by Turk Turkleton,51,21
16,4,TD,0:38,Antonio Summer 3 yd run. (Turk Turkleton XP no good),57,21
17,4,TD,0:20,Marquise Brown 107 yd kickoff return. (Kulture Fulture kick),57,28
