,Q,Score Type,Time Remaining,Play,BAL,AZ
1,1,FG,7:41,26 yd FG by Turk Turkleton,3,0
2,1,FG,3:59,46 yd FG by Dean Jackson,3,3
3,1,FG,0:06,31 yd FG by Dean Jackson,3,6
5,2,FG,10:06,27 yd FG by Turk Turkleton,6,6
6,2,FG,5:11,29 yd FG by Turk Turkleton,9,6
7,2,TD,0:15,Owen Taylor 2 yd run. (Turk Turkleton kick),16,6
9,3,TD,10:46,Trey Willie 2 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),16,13
11,4,TD,7:09,Balthazar Crindy 8 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),16,20
12,4,TD,4:20,Errol (R) Maddox 5 yd pass from Childish Gambino. (Turk Turkleton kick),23,20
13,4,FG,0:28,33 yd FG by Dean Jackson,23,23
15,5,TD,11:46,Arbin (R) Asipi III 6 yd pass from Kevin Fitzpatrick.,23,29
