,Q,Score Type,Time Remaining,Play,NO,BAL
1,1,TD,7:01,Paul DiMirio 3 yd pass from Borkus Maximus III. (Beat Meoff kick),7,0
2,1,FG,5:20,40 yd FG by Turk Turkleton,7,3
3,1,FG,1:41,36 yd FG by Turk Turkleton,7,6
5,2,SF,14:32,Borkus Maximus III tackled for a safety.,7,8
6,2,TD,6:51,Antonio Summer 20 yd pass from Childish Gambino. (Turk Turkleton kick),7,15
7,2,FG,3:05,43 yd FG by Beat Meoff,10,15
8,2,FG,0:23,31 yd FG by Beat Meoff,13,15
10,3,FG,3:04,47 yd FG by Turk Turkleton,13,18
12,4,FG,8:02,23 yd FG by Beat Meoff,16,18
13,4,TD,0:58,Owen Taylor 4 yd run. (Turk Turkleton kick),16,25
