,Q,Score Type,Time Remaining,Play,SJS,NO
1,1,TD,10:07,Kazimir Oles 19 yd pass from Joliet L. Christ. (Neo (R) Donaldson kick),7,0
2,1,FG,6:39,45 yd FG by Neo (R) Donaldson,10,0
3,1,TD,2:32,Paul DiMirio 5 yd pass from Borkus Maximus III. (Beat Meoff kick),10,7
5,2,TD,11:31,Vladimir Fyodorovich 31 yd pass from Borkus Maximus III. (Beat Meoff kick),10,14
6,2,FG,9:13,37 yd FG by Neo (R) Donaldson,13,14
7,2,FG,3:54,52 yd FG by Beat Meoff,13,17
9,3,FG,12:24,40 yd FG by Neo (R) Donaldson,16,17
10,3,TD,5:37,Xavier Flash 15 yd pass from Joliet L. Christ. (Neo (R) Donaldson XP no good),22,17
11,3,TD,2:54,Ty (R) Justice 45 yd pass from Joliet L. Christ. (Neo (R) Donaldson kick),29,17
13,4,FG,15:00,37 yd FG by Beat Meoff,29,20
14,4,TD,13:10,Chris Orosz 6 yd run. (Neo (R) Donaldson kick),36,20
15,4,FG,4:54,45 yd FG by Neo (R) Donaldson,39,20
16,4,FG,1:43,33 yd FG by Neo (R) Donaldson,42,20
