,Q,Score Type,Time Remaining,Play,COL,AZ
1,1,TD,9:13,Arbin (R) Asipi III 5 yd run. (Dean Jackson kick),0,7
2,1,TD,1:48,Viggo Squanch 44 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),0,14
4,2,FG,8:44,19 yd FG by Dean Jackson,0,17
5,2,TD,2:53,Slim (R) Shady 1 yd run. (Dean Jackson kick),0,24
7,3,TD,9:28,LaMarcus Strike 4 yd run. (Peg Leg kick),7,24
8,3,TD,5:32,Trey Willie 5 yd pass from Kevin Fitzpatrick. (Dean Jackson XP no good),7,30
10,4,TD,10:50,John Wachter 5 yd pass from Micycle McCormick. (Peg Leg kick),14,30
11,4,TD,7:19,John Wachter 18 yd pass from Micycle McCormick. (2pt conversion good),22,30
12,4,TD,1:06,Devo Cansino 1 yd pass from Micycle McCormick. (2pt conversion good),30,30
14,5,TD,10:04,Howard Miller 12 yd pass from Micycle McCormick.,36,30
