,Q,Score Type,Time Remaining,Play,NO,COL
1,1,FG,6:44,26 yd FG by Peg Leg,0,3
2,1,FG,4:52,24 yd FG by Peg Leg,0,6
3,1,TD,2:01,Borkus Maximus III 13 yd run. (Beat Meoff kick),7,6
5,2,TD,13:56,Borro Gore 1 yd run. (Beat Meoff kick),14,6
6,2,TD,8:08,Borro Gore 1 yd run. (Beat Meoff kick),21,6
7,2,FG,0:51,18 yd FG by Peg Leg,21,9
9,3,TD,10:27,Devo Cansino 1 yd run. (Peg Leg kick),21,16
10,3,TD,1:42,James (R) Bishop 8 yd pass from Micycle McCormick. (Peg Leg kick),21,23
12,4,FG,8:55,45 yd FG by Peg Leg,21,26
13,4,TD,6:25,Thjalfi (R) Halvorsen 8 yd pass from Borkus Maximus III. (2pt conversion failed),27,26
14,4,FG,0:15,57 yd FG by Peg Leg,27,29
