,Q,Score Type,Time Remaining,Play,AZ,PHI
1,1,TD,11:51,Darren Morris 70 yd interception return. (Dean Jackson kick),7,0
2,1,FG,7:34,47 yd FG by Kulture Fulture,7,3
3,1,FG,5:34,40 yd FG by Dean Jackson,10,3
5,2,TD,12:27,Jordan von Matt 12 yd pass from Adriana Falconi. (Kulture Fulture kick),10,10
6,2,FG,10:54,30 yd FG by Kulture Fulture,10,13
7,2,TD,4:30,Marquise Brown 9 yd pass from Adriana Falconi. (Kulture Fulture kick),10,20
8,2,FG,0:18,17 yd FG by Kulture Fulture,10,23
10,3,TD,11:26,Carter Bush 19 yd pass from Adriana Falconi. (Kulture Fulture kick),10,30
11,3,TD,11:11,Darren Morris 108 yd kickoff return. (Dean Jackson kick),17,30
12,3,TD,1:12,Achilles Hondo 5 yd pass from Adriana Falconi. (Kulture Fulture kick),17,37
14,4,FG,7:37,27 yd FG by Kulture Fulture,17,40
