,Q,Score Type,Time Remaining,Play,SJS,YKW
1,1,TD,11:44,Chris Orosz 4 yd run. (Neo Donaldson kick),7,0
2,1,FG,6:35,38 yd FG by None Forfeit,7,3
3,1,TD,5:10,Dick Wizardry 5 yd run. (None Forfeit XP no good),7,9
4,1,TD,2:10,D'Pez Poopsie 42 yd interception return. (Neo Donaldson kick),14,9
6,2,TD,7:30,Jerrod Canton 2 yd run. (Neo Donaldson kick),21,9
7,2,FG,2:41,30 yd FG by None Forfeit,21,12
8,2,FG,0:21,36 yd FG by Neo Donaldson,24,12
10,3,FG,10:30,27 yd FG by Neo Donaldson,27,12
11,3,TD,7:32,Jerrod Canton 1 yd run. (Neo Donaldson kick),34,12
13,4,FG,9:18,39 yd FG by None Forfeit,34,15
