,Q,Score Type,Time Remaining,Play,NO,AZ
1,1,TD,6:34,Trey Willie 6 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),0,7
2,1,TD,3:05,Lucius Kaine (R) 27 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),0,14
4,2,TD,12:10,Slim Shady 1 yd run. (Dean Jackson kick),0,21
5,2,TD,3:52,Slim Shady 3 yd run. (Dean Jackson kick),0,28
6,2,TD,0:12,Felix Hasselhoff 3 yd pass from Borkus Maximus III. (Beat Meoff kick),7,28
8,3,TD,11:53,Slim Shady 9 yd run. (Dean Jackson kick),7,35
9,3,TD,2:32,Balthazar Crindy 7 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),7,42
11,4,FG,15:00,42 yd FG by Beat Meoff,10,42
12,4,TD,9:22,Damien Arnold 35 yd interception return. (Dean Jackson kick),10,49
13,4,TD,3:15,Lucius Kaine (R) 22 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),10,56
14,4,TD,0:08,Tyler Swift 6 yd pass from Borkus Maximus III. (Beat Meoff kick),17,56
