,Q,Score Type,Time Remaining,Play,YKW,OCO
1,1,TD,10:14,Jeff Jefferson IV (R) 58 yd interception return. (None Forfeit XP no good),6,0
2,1,FG,3:32,26 yd FG by None Forfeit,9,0
4,2,TD,12:17,Ricky Adams 7 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),9,7
5,2,TD,8:11,Carlito Crush 5 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),9,14
6,2,TD,4:58,Ricky Adams 10 yd run. (Adam Anderson XP no good),9,20
7,2,FG,0:40,44 yd FG by None Forfeit,12,20
9,3,FG,12:14,32 yd FG by Adam Anderson,12,23
10,3,TD,8:15,Tegan Atwell 32 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),12,30
11,3,TD,4:44,Dick Wizardry 5 yd run. (None Forfeit kick),19,30
12,3,TD,4:27,Andre Bly Jr. 103 yd kickoff return. (Adam Anderson kick),19,37
13,3,TD,1:52,Tommy Helanen 2 yd pass from Ryan Applehort. (None Forfeit kick),26,37
15,4,TD,4:10,Glenn McPoyal 7 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),26,44
