,Q,Score Type,Time Remaining,Play,OCO,COL
1,1,TD,11:41,Gus T.T. Showbiz 10 yd run. (Adam Anderson kick),7,0
2,1,TD,4:36,Johnny Blaze 6 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),14,0
3,1,TD,3:38,Ricky Adams 1 yd run. (Adam Anderson kick),21,0
4,1,TD,0:00,Johnny Blaze 2 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),28,0
6,2,FG,12:53,25 yd FG by Kyle Corbett,28,3
7,2,TD,5:05,Carlito Crush 20 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),35,3
8,2,TD,2:04,James Bishop 47 yd pass from Micycle McCormick. (Kyle Corbett kick),35,10
9,2,FG,0:19,41 yd FG by Adam Anderson,38,10
11,3,FG,11:47,31 yd FG by Kyle Corbett,38,13
12,3,FG,6:13,42 yd FG by Adam Anderson,41,13
13,3,FG,1:20,28 yd FG by Kyle Corbett,41,16
15,4,TD,10:13,Seer Zephyrous 2 yd run. (Adam Anderson kick),48,16
16,4,TD,5:03,Devo Cansino 21 yd run. (Kyle Corbett kick),48,23
17,4,TD,3:01,Mason Brown 25 yd interception return. (Adam Anderson kick),55,23
