,Q,Score Type,Time Remaining,Play,PHI,YKW
1,1,TD,9:09,Vander Jones 13 yd run. (Kulture Fulture kick),7,0
2,1,TD,5:17,Jerrod Canton 13 yd pass from Cooter Bigsby. (Stephen Harris Jr kick),7,7
3,1,FG,1:47,27 yd FG by Kulture Fulture,10,7
5,2,FG,13:40,37 yd FG by Stephen Harris Jr,10,10
6,2,TD,8:45,Vander Jones 8 yd run. (Kulture Fulture kick),17,10
7,2,TD,2:12,Farley Hank (R) 3 yd run. (Kulture Fulture kick),24,10
9,3,TD,14:42,Ryan Applehort 108 yd kickoff return. (Stephen Harris Jr kick),24,17
10,3,TD,9:10,Vander Jones 1 yd run. (Kulture Fulture kick),31,17
11,3,FG,4:33,31 yd FG by Stephen Harris Jr,31,20
13,4,TD,10:31,Tommy Helanen 6 yd pass from Cooter Bigsby. (2pt conversion good),31,28
14,4,TD,1:17,Farley Hank (R) 1 yd run. (Kulture Fulture kick),38,28
