,Q,Score Type,Time Remaining,Play,CHI,PHI
1,1,TD,9:49,Vander Jones 20 yd pass from Adriana Falconi. (Kyle Frost kick),0,7
2,1,TD,4:45,Nacho Varga 2 yd pass from Adriana Falconi. (Kyle Frost kick),0,14
3,1,TD,0:00,Jordan von Matt 19 yd pass from Adriana Falconi. (Kyle Frost kick),0,21
5,2,TD,11:06,Vander Jones 9 yd pass from Adriana Falconi. (Kyle Frost kick),0,28
6,2,TD,8:59,Emondov Emoji 28 yd interception return. (Kyle Frost XP no good),0,34
8,3,TD,13:11,Jordan von Matt 64 yd pass from Adriana Falconi. (Kyle Frost kick),0,41
9,3,FG,8:25,42 yd FG by Kulture Fulture,3,41
10,3,TD,1:41,Declan Harp 4 yd pass from Rose Jenkins (R). (Kulture Fulture kick),10,41
11,3,FG,0:18,20 yd FG by Kulture Fulture,13,41
13,4,TD,10:48,Kazimir Oles 18 yd pass from Rose Jenkins (R). (Kulture Fulture XP no good),19,41
14,4,TD,7:18,Fast Boija 10 yd run. (Kyle Frost kick),19,48
