,Q,Score Type,Time Remaining,Play,OCO,NO
1,1,TD,9:30,None Sunnycursed 20 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),7,0
2,1,TD,6:51,Vinny Valentine 10 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),14,0
3,1,TD,2:17,Vladimir Fyodorovich 4 yd pass from Stan Francisco. (Alex Frost kick),14,7
5,2,TD,14:53,Apollo Reed 1 yd run. (Alex Dasistwirklichseinnachname kick),21,7
6,2,TD,12:28,Johnny Blaze 17 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),28,7
7,2,TD,6:21,Thjalfi Halvorsen 1 yd pass from Stan Francisco. (Alex Frost kick),28,14
8,2,TD,1:11,Tyler Swift 9 yd pass from Stan Francisco. (Alex Frost kick),28,21
10,3,TD,11:40,Tyler Swift 3 yd run. (Alex Frost kick),28,28
11,3,TD,7:58,Johnny Blaze 17 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),35,28
12,3,TD,1:27,Johnny Blaze 6 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname XP no good),41,28
14,4,TD,2:06,Adrian Pitcher 6 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),48,28
