,Q,Score Type,Time Remaining,Play,AUS,BAL
1,1,TD,14:00,Axel Hornbacher 61 yd interception return. (ForThe Brand (R) kick),0,7
2,1,FG,12:59,33 yd FG by Alfredo Crisco,3,7
3,1,TD,6:10,Marquise Brown 9 yd pass from Corvo Havran (R). (ForThe Brand (R) kick),3,14
5,2,TD,13:45,Yulic Nagasawa 8 yd pass from Corvo Havran (R). (ForThe Brand (R) kick),3,21
6,2,TD,10:28,Austin Roenick 10 yd interception return. (ForThe Brand (R) kick),3,28
7,2,TD,3:59,Errol Maddox 38 yd pass from Corvo Havran (R). (ForThe Brand (R) kick),3,35
9,3,TD,8:29,Dorfus Jimbo (R) 8 yd pass from Corvo Havran (R). (ForThe Brand (R) kick),3,42
10,3,FG,4:09,45 yd FG by Alfredo Crisco,6,42
12,4,TD,11:42,Dick Wizardry 1 yd run. (Alfredo Crisco kick),13,42
13,4,FG,7:32,37 yd FG by ForThe Brand (R),13,45
