,Q,Score Type,Time Remaining,Play,NO,SJS
1,1,TD,12:14,Stan Francisco 26 yd run. (Alex Frost kick),7,0
2,1,FG,8:43,44 yd FG by Neo Donaldson,7,3
3,1,FG,1:45,31 yd FG by Neo Donaldson,7,6
5,2,TD,13:24,Vladimir Fyodorovich 12 yd pass from Stan Francisco. (Alex Frost kick),14,6
6,2,TD,4:44,Bona'beri Jones 1 yd pass from Stan Francisco. (Alex Frost XP no good),20,6
7,2,FG,0:19,41 yd FG by Alex Frost,23,6
9,3,TD,11:36,Vladimir Fyodorovich 17 yd pass from Stan Francisco. (Alex Frost kick),30,6
10,3,TD,7:54,Cameron Olsen 34 yd pass from Joliet L. Christ. (Neo Donaldson kick),30,13
11,3,FG,5:43,19 yd FG by Neo Donaldson,30,16
13,4,TD,13:54,Stan Francisco 28 yd run. (Alex Frost kick),37,16
14,4,TD,6:37,Corwin Davenport 7 yd run. (Neo Donaldson kick),37,23
15,4,TD,0:32,Xavier Flash 25 yd pass from Joliet L. Christ. (Neo Donaldson kick),37,30
