,Q,Score Type,Time Remaining,Play,YKW,PHI
1,1,FG,12:18,31 yd FG by Kicky Bobby (R),3,0
2,1,FG,6:11,25 yd FG by Roderick Castleberry,3,3
3,1,FG,2:46,41 yd FG by Kicky Bobby (R),6,3
5,2,TD,13:10,Vander Jones 11 yd pass from Adriana Falconi. (Roderick Castleberry kick),6,10
6,2,TD,9:05,Jerrod Canton 26 yd pass from Cooter Bigsby. (Kicky Bobby (R) kick),13,10
7,2,TD,5:03,Marquise Brown 7 yd pass from Adriana Falconi. (Roderick Castleberry kick),13,17
9,3,TD,8:19,Nate Swift 8 yd pass from Cooter Bigsby. (Kicky Bobby (R) kick),20,17
10,3,FG,4:19,43 yd FG by Roderick Castleberry,20,20
11,3,FG,0:45,46 yd FG by Roderick Castleberry,20,23
13,4,TD,8:39,Jerrod Canton 16 yd pass from Cooter Bigsby. (Kicky Bobby (R) kick),27,23
14,4,TD,5:21,Tommy Helanen 9 yd pass from Cooter Bigsby. (Kicky Bobby (R) kick),34,23
15,4,TD,0:53,Morgan Marshall 1 yd run. (Kicky Bobby (R) kick),41,23
