,Q,Score Type,Time Remaining,Play,COL,PHI
1,1,TD,10:36,James Bishop 8 yd pass from Wolfie McDummy. (Joshua Jones II (R) kick),7,0
2,1,TD,8:32,Jordan von Matt 9 yd pass from Adriana Falconi. (Roderick Castleberry kick),7,7
3,1,TD,4:49,Terry Taffy 3 yd pass from Wolfie McDummy. (Joshua Jones II (R) kick),14,7
5,2,TD,11:33,Vander Jones 6 yd pass from Adriana Falconi. (Roderick Castleberry kick),14,14
6,2,FG,9:05,35 yd FG by Roderick Castleberry,14,17
7,2,FG,4:36,25 yd FG by Joshua Jones II (R),17,17
9,3,TD,10:06,Nacho Varga 11 yd pass from Adriana Falconi. (Roderick Castleberry kick),17,24
10,3,FG,2:33,39 yd FG by Roderick Castleberry,17,27
12,4,TD,12:13,Thomas Carrasco 4 yd run. (Joshua Jones II (R) kick),24,27
13,4,TD,3:41,James Bishop 6 yd pass from Wolfie McDummy. (Joshua Jones II (R) kick),31,27
