,Q,Score Type,Time Remaining,Play,NO,PHI
1,1,TD,9:47,Sam Hardwick 6 yd pass from Adriana Falconi. (Roderick Castleberry kick),0,7
2,1,FG,6:20,37 yd FG by Alex Frost,3,7
3,1,TD,2:48,Sam Hardwick 32 yd pass from Adriana Falconi. (Roderick Castleberry XP no good),3,13
5,2,FG,13:23,26 yd FG by Roderick Castleberry,3,16
6,2,FG,9:22,33 yd FG by Alex Frost,6,16
7,2,FG,4:29,23 yd FG by Alex Frost,9,16
9,3,TD,8:46,Sam Hardwick 15 yd pass from Adriana Falconi. (Roderick Castleberry kick),9,23
10,3,TD,2:22,Nacho Varga 8 yd pass from Adriana Falconi. (Roderick Castleberry kick),9,30
12,4,TD,13:06,Vladimir Fyodorovich 17 yd pass from Stan Francisco. (Alex Frost kick),16,30
13,4,TD,5:22,Jordan von Matt 18 yd pass from Adriana Falconi. (Roderick Castleberry kick),16,37
14,4,FG,3:44,44 yd FG by Roderick Castleberry,16,40
15,4,TD,0:00,Vladimir Fyodorovich 36 yd pass from Stan Francisco. (Alex Frost kick),23,40
