,Q,Score Type,Time Remaining,Play,CHI,NO
1,1,TD,4:52,Tyler Swift 7 yd run. (Alex Frost XP no good),0,6
3,2,FG,15:00,37 yd FG by Kulture Fulture,3,6
4,2,FG,9:03,25 yd FG by Alex Frost,3,9
6,3,TD,10:21,Tyler Swift 4 yd run. (Alex Frost kick),3,16
7,3,TD,2:23,Felix Hasselhoff 2 yd pass from Rose Jenkins. (Kulture Fulture kick),10,16
9,4,TD,14:08,Declan Harp 34 yd pass from Rose Jenkins. (Kulture Fulture kick),17,16
10,4,TD,10:06,Vladimir Fyodorovich 9 yd pass from Stan Francisco. (2pt conversion failed),17,22
11,4,TD,3:55,Felix Hasselhoff 18 yd pass from Rose Jenkins. (2pt conversion good),25,22
12,4,FG,0:14,23 yd FG by Alex Frost,25,25
14,5,FG,10:50,40 yd FG by Kulture Fulture,28,25
