,Q,Score Type,Time Remaining,Play,BAL,NO
1,1,TD,7:57,Tyler Swift 1 yd run. (Alex Frost kick),0,7
2,1,TD,3:41,None Sunnycursed 5 yd pass from Corvo Havran. (ForThe Brand kick),7,7
3,1,TD,0:00,Forrest Gump 2 yd pass from Stan Francisco. (Alex Frost kick),7,14
5,2,TD,12:14,Errol Maddox 31 yd pass from Corvo Havran. (ForThe Brand kick),14,14
6,2,TD,5:05,Verso L'Alto 4 yd pass from Corvo Havran. (ForThe Brand kick),21,14
7,2,FG,0:47,34 yd FG by Alex Frost,21,17
9,3,TD,4:09,Dorfus Jimbo 3 yd run. (ForThe Brand kick),28,17
10,3,TD,1:24,Forrest Gump 9 yd pass from Stan Francisco. (Alex Frost kick),28,24
12,4,TD,7:27,Tyler Swift 1 yd run. (Alex Frost kick),28,31
13,4,TD,2:00,Tyler Swift 5 yd run. (Alex Frost kick),28,38
