,Q,Score Type,Time Remaining,Play,AUS,AZ
1,1,TD,9:27,Django Anoa'i 18 yd pass from Easton Cole. (Alfredo Crisco kick),7,0
2,1,TD,3:52,Slim Shady 4 yd run. (Cameron Clutch (R) kick),7,7
4,2,FG,14:20,25 yd FG by Cameron Clutch (R),7,10
5,2,FG,6:19,28 yd FG by Cameron Clutch (R),7,13
6,2,FG,3:16,32 yd FG by Alfredo Crisco,10,13
8,3,TD,11:32,Vinny Valentine 79 yd pass from Andrew Reese. (Cameron Clutch (R) kick),10,20
9,3,TD,6:39,Rod Tidwell 11 yd pass from Easton Cole. (Alfredo Crisco kick),17,20
10,3,TD,3:40,Slim Shady 4 yd run. (Cameron Clutch (R) kick),17,27
12,4,FG,12:43,21 yd FG by Cameron Clutch (R),17,30
13,4,TD,8:49,Chase Jensen 27 yd interception return. (Alfredo Crisco kick),24,30
14,4,TD,4:10,Saba Donut (R) 32 yd pass from Andrew Reese. (Cameron Clutch (R) kick),24,37
