,Q,Score Type,Time Remaining,Play,AUS,SJS
1,1,TD,10:32,Rod Tidwell 27 yd pass from Easton Cole. (Alfredo Crisco kick),7,0
2,1,FG,1:26,36 yd FG by Kicky Bobby,7,3
4,2,FG,12:54,40 yd FG by Alfredo Crisco,10,3
5,2,FG,7:25,41 yd FG by Kicky Bobby,10,6
6,2,FG,0:59,20 yd FG by Kicky Bobby,10,9
8,3,FG,6:45,20 yd FG by Kicky Bobby,10,12
9,3,TD,3:07,Ashley Owens 5 yd pass from Easton Cole. (Alfredo Crisco kick),17,12
11,4,TD,11:24,Marcella TÅriki (R) 5 yd pass from Dan Wright. (2pt conversion failed),17,18
12,4,TD,5:15,Dan Wright 10 yd run. (Kicky Bobby kick),17,25
13,4,TD,1:25,Mako Mendonca 11 yd pass from Easton Cole. (2pt conversion good),25,25
15,5,TD,9:11,Ty Justice 2 yd pass from Dan Wright.,25,31
