,Q,Score Type,Time Remaining,Play,BAL,AUS
1,1,TD,3:02,Ashley Owens 3 yd run. (Alfredo Crisco kick),0,7
3,2,FG,15:00,44 yd FG by ForThe Brand,3,7
4,2,TD,12:02,Ashley Owens 7 yd pass from Easton Cole. (Alfredo Crisco kick),3,14
5,2,TD,9:25,Django Anoa'i 14 yd pass from Easton Cole. (Alfredo Crisco kick),3,21
6,2,TD,3:41,Errol Maddox 31 yd pass from Corvo Havran. (ForThe Brand kick),10,21
7,2,FG,0:00,35 yd FG by Alfredo Crisco,10,24
9,3,TD,8:26,Corey Trevor 4 yd run. (ForThe Brand kick),17,24
10,3,TD,5:52,Rod Tidwell 34 yd pass from Easton Cole. (Alfredo Crisco kick),17,31
12,4,FG,15:00,34 yd FG by ForThe Brand,20,31
13,4,TD,10:47,Ludicolo Bigby 2 yd run. (2pt conversion failed),26,31
14,4,TD,7:30,Django Anoa'i 4 yd pass from Easton Cole. (Alfredo Crisco kick),26,38
15,4,TD,1:49,Peter Larson 11 yd pass from Easton Cole. (Alfredo Crisco kick),26,45
