,Q,Score Type,Time Remaining,Play,CHI,BAL
1,1,FG,6:03,32 yd FG by Kulture Fulture,3,0
2,1,TD,2:49,None Sunnycursed 6 yd pass from Corvo Havran. (ForThe Brand XP no good),3,6
3,1,TD,0:31,Ahri Espeeyeeseetee 17 yd pass from Corvo Havran. (ForThe Brand kick),3,13
5,2,TD,4:19,Felix Hasselhoff 12 yd pass from Rose Jenkins. (Kulture Fulture kick),10,13
6,2,FG,0:01,56 yd FG by ForThe Brand,10,16
8,3,FG,12:51,33 yd FG by ForThe Brand,10,19
9,3,SF,7:47,Rose Jenkins tackled for a safety.,10,21
10,3,FG,2:56,47 yd FG by Kulture Fulture,13,21
12,4,FG,13:24,27 yd FG by Kulture Fulture,16,21
13,4,TD,10:39,None Sunnycursed 9 yd pass from Corvo Havran. (ForThe Brand kick),16,28
14,4,TD,1:59,Declan Harp 4 yd pass from Rose Jenkins. (Kulture Fulture kick),23,28
