,Q,Score Type,Time Remaining,Play,YKW,AUS
1,1,FG,8:55,41 yd FG by Alfredo Crisco,0,3
2,1,TD,5:01,Mako Mendonca 1 yd pass from Easton Cole. (Alfredo Crisco kick),0,10
4,2,FG,14:20,20 yd FG by Alfredo Crisco,0,13
5,2,TD,11:15,Nate Swift 5 yd pass from Cooter Bigsby. (Neo Donaldson kick),7,13
6,2,TD,9:11,Rod Tidwell 25 yd pass from Easton Cole. (Alfredo Crisco kick),7,20
7,2,TD,5:16,Mako Mendonca 1 yd pass from Easton Cole. (Alfredo Crisco kick),7,27
9,3,TD,10:07,Tommy Helanen 6 yd pass from Cooter Bigsby. (Neo Donaldson kick),14,27
10,3,TD,6:23,Morgan Marshall 7 yd run. (Neo Donaldson kick),21,27
11,3,TD,0:07,Tommy Helanen 14 yd pass from Cooter Bigsby. (Neo Donaldson kick),28,27
13,4,TD,11:07,Nate Swift 6 yd pass from Cooter Bigsby. (Neo Donaldson XP no good),34,27
14,4,TD,4:16,Morgan Marshall 5 yd pass from Cooter Bigsby. (Neo Donaldson kick),41,27
