,Q,Score Type,Time Remaining,Play,PHI,AUS
1,1,TD,9:14,Seer Zephyrous 7 yd run. (Baxter Frost (R) kick),7,0
2,1,FG,1:42,46 yd FG by Baxter Frost (R),10,0
4,2,TD,12:39,Django Anoa'i 10 yd pass from Easton Cole. (Alfredo Crisco kick),10,7
5,2,FG,7:17,18 yd FG by Alfredo Crisco,10,10
6,2,FG,3:57,38 yd FG by Baxter Frost (R),13,10
7,2,TD,1:10,Rod Tidwell 5 yd pass from Easton Cole. (Alfredo Crisco kick),13,17
9,3,TD,9:13,Sam Torenson 6 yd run. (Baxter Frost (R) kick),20,17
10,3,TD,6:34,Julian McMorris (R) 64 yd interception return. (Baxter Frost (R) kick),27,17
12,4,TD,13:44,Ashley Owens 5 yd run. (Alfredo Crisco kick),27,24
13,4,TD,3:33,Sam Torenson 3 yd run. (Baxter Frost (R) kick),34,24
