,Q,Score Type,Time Remaining,Play,COL,CHI
1,1,TD,9:54,Ashley Owens 9 yd pass from Wolfie McDummy. (Stephen Harris Jr kick),7,0
2,1,FG,8:00,30 yd FG by Stephen Harris Jr,10,0
3,1,FG,1:57,36 yd FG by Kulture Fulture,10,3
5,2,TD,9:15,James Bishop 1 yd pass from Wolfie McDummy. (Stephen Harris Jr kick),17,3
6,2,FG,6:53,37 yd FG by Kulture Fulture,17,6
7,2,FG,3:09,55 yd FG by Stephen Harris Jr,20,6
8,2,SF,1:36,Rose Jenkins tackled for a safety.,22,6
10,3,TD,11:10,Josh Parker 30 yd pass from Rose Jenkins. (Kulture Fulture kick),22,13
11,3,TD,3:09,Wolfie McDummy 20 yd run. (Stephen Harris Jr kick),29,13
13,4,TD,8:20,James Bishop 12 yd pass from Wolfie McDummy. (Stephen Harris Jr kick),36,13
14,4,TD,2:38,Laszlo Forty-Two 7 yd pass from Wolfie McDummy. (Stephen Harris Jr kick),43,13
