,Q,Score Type,Time Remaining,Play,YKW,COL
1,1,TD,13:14,Michael Vincent 1 yd run. (Stephen Harris Jr kick),0,7
3,2,TD,14:02,Mathias Hanyadi (R) 1 yd run. (Neo Donaldson kick),7,7
4,2,TD,9:27,Ashley Owens 1 yd run. (Stephen Harris Jr kick),7,14
5,2,TD,6:30,Mathias Hanyadi (R) 1 yd run. (Neo Donaldson XP no good),13,14
6,2,TD,3:19,James Bishop 45 yd pass from Wolfie McDummy. (Stephen Harris Jr kick),13,21
7,2,FG,0:18,30 yd FG by Neo Donaldson,16,21
9,3,FG,10:04,35 yd FG by Neo Donaldson,19,21
10,3,TD,2:37,Ashley Owens 7 yd pass from Wolfie McDummy. (Stephen Harris Jr XP no good),19,27
12,4,TD,14:54,Orien Drake (R) 1 yd run. (2pt conversion good),27,27
13,4,FG,10:36,43 yd FG by Neo Donaldson,30,27
14,4,FG,8:42,39 yd FG by Neo Donaldson,33,27
