Player,Team,Tck,TFL,Sack,PD,Int,Sfty,def_TD,FF,FR,Blk P,Blk XP,Blk FG,W,S
"Watkins, R.",CHI,16,1,0,0,0,0,0,0,0,0,0,0,11,19
"Leaf Jr., R.",CHI,9,0,0,0,0,0,0,0,0,0,0,0,11,19
"Nikko, G.",CHI,8,0,0,1,0,0,0,0,0,0,0,0,11,19
"Henry, J.",CHI,7,0,1,0,0,0,0,0,0,0,0,0,11,19
"Hockhertz, M.",CHI,6,0,0,0,0,0,0,0,0,1,0,0,11,19
"Bailey, Z.",CHI,3,0,0,0,0,0,0,0,0,0,0,0,11,19
"Rambo, J.",CHI,3,0,0,0,0,0,0,0,0,0,0,0,11,19
"Rice, J.",CHI,3,0,0,1,0,0,0,0,0,0,0,0,11,19
"Saul, C.",CHI,2,0,0,0,0,0,0,0,0,0,0,0,11,19
"Foster, W.",CHI,1,0,0,0,0,0,0,0,0,0,0,0,11,19
"Hondo, A.",CHI,1,0,0,0,0,0,0,0,0,0,0,0,11,19
"Oats, S.",CHI,1,1,0,0,0,0,0,0,0,0,0,0,11,19
"Ridley, X.",NO,12,0,0,0,0,0,0,1,0,0,0,0,11,19
"Bode, Q.",NO,8,0,0,1,1,0,0,0,0,0,0,0,11,19
"Andrews, J.",NO,7,0,0,2,0,0,0,0,0,0,0,0,11,19
"Taylor, D.",NO,7,0,0,2,0,0,0,0,0,0,0,0,11,19
"Slothface, J.",NO,6,0,0,1,0,0,0,0,0,0,0,0,11,19
"Swift, T.",NO,5,0,1,0,0,0,0,0,1,0,0,0,11,19
"Rector, D.",NO,4,0,0,1,0,0,0,0,0,0,0,0,11,19
"Ironside, B.",NO,2,0,1,0,0,0,0,0,0,0,0,0,11,19
"Rax, L.",NO,2,0,1,0,0,0,0,0,0,0,0,0,11,19
"Faux, B.",NO,1,0,0,0,0,0,0,0,0,0,0,0,11,19
