,Q,Score Type,Time Remaining,Play,COL,SJS
1,1,TD,12:01,James Bishop 32 yd pass from Wolfie McDummy. (Stephen Harris Jr kick),7,0
3,2,TD,11:22,Ashley Owens 3 yd pass from Wolfie McDummy. (Stephen Harris Jr kick),14,0
4,2,TD,5:37,Beep Bot 8 yd pass from Dan Wright. (Kicky Bobby kick),14,7
5,2,FG,0:10,31 yd FG by Kicky Bobby,14,10
7,3,TD,6:38,Cameron Olsen 9 yd pass from Dan Wright. (Kicky Bobby kick),14,17
8,3,TD,1:14,Laszlo Forty-Two 16 yd pass from Wolfie McDummy. (Stephen Harris Jr kick),21,17
9,3,TD,0:12,Ashley Owens 1 yd run. (Stephen Harris Jr kick),28,17
11,4,FG,7:14,22 yd FG by Kicky Bobby,28,20
12,4,TD,3:49,Laszlo Forty-Two 5 yd pass from Wolfie McDummy. (Stephen Harris Jr kick),35,20
13,4,TD,0:50,Ashley Owens 6 yd run. (Stephen Harris Jr XP no good),41,20
