,Q,Score Type,Time Remaining,Play,AUS,CHI
1,1,TD,10:28,Easton Cole 2 yd run. (Alfredo Crisco kick),7,0
2,1,FG,7:31,23 yd FG by Kulture Fulture,7,3
3,1,TD,3:02,Django Anoa'i 16 yd pass from Easton Cole. (Alfredo Crisco kick),14,3
5,2,FG,15:00,31 yd FG by Kulture Fulture,14,6
6,2,TD,10:40,Django Anoa'i 1 yd pass from Easton Cole. (Alfredo Crisco kick),21,6
7,2,FG,7:14,32 yd FG by Kulture Fulture,21,9
8,2,FG,2:01,25 yd FG by Kulture Fulture,21,12
10,3,TD,11:57,Sandip Bakshi 76 yd interception return. (Alfredo Crisco kick),28,12
11,3,TD,1:30,Sean O'Leary (R) 7 yd pass from Rose Jenkins. (Kulture Fulture kick),28,19
13,4,FG,12:24,29 yd FG by Alfredo Crisco,31,19
14,4,FG,5:58,40 yd FG by Alfredo Crisco,34,19
