,Q,Score Type,Time Remaining,Play,COL,BAL
1,1,FG,6:52,40 yd FG by Turk Turkleton,0,3
2,1,FG,3:01,32 yd FG by Turk Turkleton,0,6
4,2,FG,14:37,25 yd FG by Bojo Kicksit,3,6
5,2,FG,9:28,20 yd FG by Turk Turkleton,3,9
6,2,FG,6:50,47 yd FG by Turk Turkleton,3,12
8,3,TD,10:34,Carmel Gibson 7 yd pass from Scrub Kyubee. (Turk Turkleton kick),3,19
9,3,TD,4:12,Carmel Gibson 15 yd pass from Scrub Kyubee. (Turk Turkleton XP no good),3,25
10,3,FG,0:04,22 yd FG by Turk Turkleton,3,28
12,4,FG,11:13,36 yd FG by Bojo Kicksit,6,28
13,4,FG,7:47,24 yd FG by Bojo Kicksit,9,28
