,Q,Score Type,Time Remaining,Play,SJS,ARI
1,1,TD,9:07,Mayran Jackson 30 yd pass from King Bronko. (Cristiano Ronaldo kick),0,7
2,1,TD,5:49,Jaxon Tuck 2 yd run. (Cristiano Ronaldo kick),0,14
3,1,TD,4:34,Mayran Jackson 14 yd pass from King Bronko. (Cristiano Ronaldo kick),0,21
5,2,TD,14:37,Dustin Evans 8 yd pass from King Bronko. (Cristiano Ronaldo kick),0,28
6,2,TD,3:32,Dustin Evans 54 yd pass from King Bronko. (Cristiano Ronaldo kick),0,35
8,3,TD,9:46,Charles Arthur Chess 10 yd pass from King Bronko. (Cristiano Ronaldo XP no good),0,41
9,3,TD,8:57,Ryan Flock 30 yd interception return. (Cristiano Ronaldo kick),0,48
10,3,TD,2:40,Charles Arthur Chess 29 yd pass from King Bronko. (Cristiano Ronaldo kick),0,55
12,4,FG,13:17,44 yd FG by Cristiano Ronaldo,0,58
13,4,TD,1:13,Isaiah Rashad 26 yd interception return. (Cristiano Ronaldo kick),0,65
