,Q,Score Type,Time Remaining,Play,LV,ARI
1,1,TD,7:35,Charles Arthur Chess 8 yd pass from King Bronko. (Cristiano Ronaldo kick),0,7
2,1,FG,1:24,37 yd FG by Cristiano Ronaldo,0,10
4,2,TD,8:24,Reg Mackworthy 3 yd run. (Cristiano Ronaldo kick),0,17
5,2,TD,6:31,Mayran Jackson 4 yd pass from King Bronko. (Cristiano Ronaldo kick),0,24
6,2,FG,1:46,26 yd FG by Cristiano Ronaldo,0,27
8,3,FG,11:28,40 yd FG by Cristiano Ronaldo,0,30
9,3,TD,7:44,Reg Mackworthy 2 yd run. (Cristiano Ronaldo kick),0,37
11,4,TD,7:45,Kyle Cobb 1 yd run. (Iyah Blewitt kick),7,37
12,4,FG,1:48,20 yd FG by Cristiano Ronaldo,7,40
13,4,FG,0:06,36 yd FG by Cristiano Ronaldo,7,43
