,Q,Score Type,Time Remaining,Play,LV,YKW
1,1,TD,8:58,Kyle Cobb 1 yd run. (Iyah Blewitt kick),7,0
2,1,TD,5:57,Dirk Cutter 29 yd interception return. (Archibald Booter kick),7,7
4,2,FG,13:27,18 yd FG by Archibald Booter,7,10
5,2,TD,7:21,Josh Garden 23 yd pass from Chris Orosz. (Archibald Booter kick),7,17
6,2,FG,5:14,49 yd FG by Archibald Booter,7,20
7,2,TD,2:50,None Stormblessed 3 yd pass from Josh Bercovici. (Iyah Blewitt kick),14,20
8,2,FG,0:25,47 yd FG by Archibald Booter,14,23
10,3,TD,11:40,Damian West 3 yd pass from Chris Orosz. (Archibald Booter XP blocked),14,29
11,3,FG,4:58,41 yd FG by Archibald Booter,14,32
12,3,TD,0:28,Darren Smallwood 10 yd pass from Chris Orosz. (Archibald Booter kick),14,39
14,4,TD,10:18,Ryan Lecavalier 12 yd interception return. (Iyah Blewitt kick),21,39
15,4,TD,3:52,None Stormblessed 11 yd pass from Josh Bercovici. (Iyah Blewitt kick),28,39
