,Q,Score Type,Time Remaining,Play,AUS,YKW
1,1,TD,9:55,Mathias Hanyadi 5 yd run. (Neo Donaldson kick),0,7
2,1,TD,2:06,Net Gaines 8 yd pass from Easton Cole. (Alfredo Crisco kick),7,7
4,2,TD,4:12,Orien Drake 3 yd run. (Neo Donaldson kick),7,14
5,2,TD,3:52,Sandip Bakshi 91 yd kickoff return. (Alfredo Crisco kick),14,14
6,2,TD,2:29,Jacoby Clay (R) 5 yd pass from Easton Cole. (Alfredo Crisco kick),21,14
7,2,FG,0:28,39 yd FG by Neo Donaldson,21,17
9,3,FG,6:00,44 yd FG by Alfredo Crisco,24,17
10,3,FG,1:41,46 yd FG by Neo Donaldson,24,20
12,4,TD,6:28,Mathias Hanyadi 1 yd pass from Cooter Bigsby. (Neo Donaldson kick),24,27
13,4,TD,5:45,Lightsout Lewis 46 yd interception return. (Neo Donaldson kick),24,34
14,4,FG,2:36,44 yd FG by Neo Donaldson,24,37
