,Q,Score Type,Time Remaining,Play,CHI,YKW
1,1,FG,11:54,45 yd FG by Kulture Fulture,3,0
2,1,TD,8:57,Tommy Helanen 33 yd pass from Cooter Bigsby. (Neo Donaldson XP no good),3,6
3,1,FG,5:01,41 yd FG by Neo Donaldson,3,9
5,2,TD,12:16,Orien Drake 4 yd run. (Neo Donaldson kick),3,16
6,2,TD,11:57,Ahri Espeeyeeseetee 108 yd kickoff return. (Kulture Fulture kick),10,16
7,2,TD,1:38,Nate Swift 15 yd pass from Cooter Bigsby. (Neo Donaldson kick),10,23
9,3,FG,12:05,31 yd FG by Neo Donaldson,10,26
10,3,FG,9:01,41 yd FG by Neo Donaldson,10,29
11,3,FG,5:11,41 yd FG by Kulture Fulture,13,29
13,4,TD,10:55,Josh Parker 15 yd pass from Rose Jenkins. (2pt conversion failed),19,29
14,4,TD,5:26,Aksel Danielsson 2 yd run. (Kulture Fulture kick),26,29
