,Q,Score Type,Time Remaining,Play,CHI,SJS
1,1,TD,11:52,Sean O'Leary 3 yd pass from Rose Jenkins. (Kulture Fulture kick),7,0
2,1,TD,8:46,Cameron Olsen 11 yd pass from Dan Wright. (Kicky Bobby kick),7,7
3,1,TD,2:39,Quindarius Tyerucker (R) 2 yd run. (Kicky Bobby kick),7,14
5,2,TD,12:40,Quindarius Tyerucker (R) 4 yd run. (Kicky Bobby kick),7,21
6,2,TD,12:25,Ahri Espeeyeeseetee 99 yd kickoff return. (Kulture Fulture kick),14,21
7,2,FG,7:07,21 yd FG by Kulture Fulture,17,21
8,2,TD,1:52,Cameron Olsen 13 yd pass from Dan Wright. (Kicky Bobby kick),17,28
9,2,FG,0:29,42 yd FG by Kulture Fulture,20,28
11,3,TD,10:41,Deondre Thomas-Fox (R) 16 yd pass from Dan Wright. (Kicky Bobby kick),20,35
12,3,FG,2:41,35 yd FG by Kicky Bobby,20,38
14,4,TD,12:31,Fast Boija 5 yd run. (Kicky Bobby kick),20,45
15,4,FG,1:56,45 yd FG by Kicky Bobby,20,48
16,4,TD,0:00,Ahri Espeeyeeseetee 31 yd pass from Rose Jenkins. (Kulture Fulture kick),27,48
