,Q,Score Type,Time Remaining,Play,CHI,COL
1,1,TD,10:33,Josh Parker 5 yd pass from Rose Jenkins. (Kulture Fulture kick),7,0
2,1,FG,1:41,35 yd FG by Jordan Jackson (R),7,3
4,2,FG,14:22,27 yd FG by Kulture Fulture,10,3
5,2,TD,9:19,Jim McMahon 17 yd pass from Wolfie McDummy. (Jordan Jackson (R) kick),10,10
6,2,SF,8:33,Rose Jenkins tackled for a safety.,10,12
7,2,TD,5:18,Michael Vincent 1 yd pass from Wolfie McDummy. (Jordan Jackson (R) kick),10,19
8,2,FG,0:05,29 yd FG by Jordan Jackson (R),10,22
10,3,TD,9:44,Sean O'Leary 4 yd pass from Rose Jenkins. (Kulture Fulture kick),17,22
11,3,TD,4:08,Ashley Owens 1 yd run. (Jordan Jackson (R) kick),17,29
13,4,TD,10:43,Sean O'Leary 11 yd pass from Rose Jenkins. (Kulture Fulture kick),24,29
14,4,TD,3:20,Jim McMahon 23 yd pass from Wolfie McDummy. (Jordan Jackson (R) kick),24,36
