,Q,Score Type,Time Remaining,Play,BAL,CHI
1,1,FG,10:23,51 yd FG by Kulture Fulture,0,3
2,1,TD,5:24,Errol Maddox 35 yd pass from Corvo Havran. (ForThe Brand kick),7,3
4,2,TD,13:59,Ahri Espeeyeeseetee 38 yd pass from Rose Jenkins. (Kulture Fulture kick),7,10
5,2,FG,8:39,42 yd FG by ForThe Brand,10,10
6,2,FG,6:53,29 yd FG by ForThe Brand,13,10
7,2,FG,0:05,19 yd FG by ForThe Brand,16,10
9,3,FG,5:22,42 yd FG by ForThe Brand,19,10
11,4,TD,14:49,Aksel Danielsson 1 yd run. (Kulture Fulture kick),19,17
12,4,TD,11:41,Darrel Williams (R) 1 yd run. (ForThe Brand kick),26,17
13,4,TD,6:35,Darrel Williams (R) 6 yd run. (ForThe Brand kick),33,17
