,Q,Score Type,Time Remaining,Play,AUS,NO
1,1,TD,11:12,Rod Tidwell 37 yd pass from Easton Cole. (Alfredo Crisco kick),7,0
2,1,FG,9:58,31 yd FG by Alfredo Crisco,10,0
3,1,FG,2:13,25 yd FG by Alfredo Crisco,13,0
4,1,TD,0:00,Easton Cole 36 yd run. (Alfredo Crisco kick),20,0
6,2,TD,11:24,Mako Mendonca 2 yd run. (Alfredo Crisco kick),27,0
7,2,TD,2:01,Austin McCormick 6 yd pass from Stan Francisco. (Herbert Prohaska (R) kick),27,7
9,3,FG,12:55,39 yd FG by Alfredo Crisco,30,7
10,3,FG,2:53,22 yd FG by Alfredo Crisco,33,7
11,3,TD,0:25,Bona'beri Jones 1 yd pass from Stan Francisco. (Herbert Prohaska (R) kick),33,14
13,4,TD,9:31,Jed Podolak (R) 10 yd pass from Stan Francisco. (Herbert Prohaska (R) kick),33,21
14,4,FG,5:18,33 yd FG by Alfredo Crisco,36,21
15,4,TD,0:27,Forrest Gump 57 yd punt return. (Herbert Prohaska (R) kick),36,28
