,Q,Score Type,Time Remaining,Play,AZ,SJS
1,1,FG,9:13,47 yd FG by Kicky Bobby,0,3
3,2,TD,13:57,Quindarius Tyerucker (R) 7 yd run. (Kicky Bobby kick),0,10
4,2,TD,11:51,Saba Donut 65 yd pass from Jay Cue (R). (Diego Espinosa (R) kick),7,10
5,2,TD,8:40,Cameron Olsen 9 yd pass from Dan Wright. (Kicky Bobby kick),7,17
6,2,FG,5:01,18 yd FG by Diego Espinosa (R),10,17
7,2,FG,0:18,36 yd FG by Kicky Bobby,10,20
9,3,TD,7:57,Saba Donut 1 yd pass from Jay Cue (R). (Diego Espinosa (R) kick),17,20
10,3,TD,3:07,Cameron Olsen 9 yd pass from Dan Wright. (Kicky Bobby XP no good),17,26
12,4,TD,11:16,Ruff Ruff 5 yd run. (Diego Espinosa (R) kick),24,26
13,4,TD,6:24,Cameron Olsen 11 yd pass from Dan Wright. (Kicky Bobby kick),24,33
14,4,TD,2:01,Ruff Ruff 5 yd run. (Diego Espinosa (R) kick),31,33
