,Q,Score Type,Time Remaining,Play,SJS,COL
1,1,FG,6:14,47 yd FG by Jordan Jackson (R),0,3
2,1,SF,5:16,Dan Wright tackled for a safety.,0,5
3,1,FG,0:11,35 yd FG by Kicky Bobby,3,5
6,3,TD,12:51,Wolfie McDummy 71 yd run. (Jordan Jackson (R) kick),3,12
7,3,TD,9:38,James Bishop 1 yd pass from Wolfie McDummy. (Jordan Jackson (R) kick),3,19
8,3,TD,4:55,James Bishop 8 yd pass from Wolfie McDummy. (Jordan Jackson (R) kick),3,26
9,3,FG,1:54,46 yd FG by Kicky Bobby,6,26
11,4,FG,13:25,36 yd FG by Jordan Jackson (R),6,29
12,4,TD,8:59,Michael Vincent 3 yd pass from Wolfie McDummy. (Jordan Jackson (R) kick),6,36
13,4,TD,5:46,Laszlo Forty-Two 12 yd pass from Wolfie McDummy. (Jordan Jackson (R) kick),6,43
14,4,TD,0:56,Action Jackson 16 yd pass from Dan Wright. (Kicky Bobby kick),13,43
