,Q,Score Type,Time Remaining,Play,CHI,AZ
1,1,TD,6:32,Sean O'Leary 21 yd pass from Rose Jenkins. (Kulture Fulture kick),7,0
2,1,TD,3:09,Saba Donut 1 yd pass from Jay Cue (R). (Diego Espinosa (R) kick),7,7
3,1,TD,1:46,Willie B. Hardagain (R) 2 yd pass from Jay Cue (R). (Diego Espinosa (R) kick),7,14
5,2,TD,9:34,Ruff Ruff 1 yd run. (Diego Espinosa (R) kick),7,21
6,2,TD,3:00,Sean O'Leary 12 yd pass from Rose Jenkins. (Kulture Fulture kick),14,21
7,2,TD,0:19,Ahri Espeeyeeseetee 20 yd pass from Rose Jenkins. (Kulture Fulture kick),21,21
9,3,TD,12:48,Jammerson Irving 35 yd pass from Jay Cue (R). (Diego Espinosa (R) kick),21,28
10,3,TD,11:00,Ahri Espeeyeeseetee 31 yd pass from Rose Jenkins. (Kulture Fulture kick),28,28
11,3,TD,6:25,Ruff Ruff 14 yd run. (Diego Espinosa (R) kick),28,35
12,3,FG,4:34,45 yd FG by Diego Espinosa (R),28,38
14,4,TD,13:08,Aksel Danielsson 1 yd run. (Kulture Fulture kick),35,38
15,4,TD,9:00,Ruff Ruff 18 yd pass from Jay Cue (R). (Diego Espinosa (R) XP no good),35,44
16,4,TD,0:00,Aksel Danielsson 6 yd run. (Kulture Fulture kick),42,44
