,Q,Score Type,Time Remaining,Play,OCO,CHI
1,1,FG,7:54,49 yd FG by Alex Dasistwirklichseinnachname,3,0
2,1,FG,4:36,45 yd FG by Alex Dasistwirklichseinnachname,6,0
4,2,TD,13:36,Ahri Espeeyeeseetee 21 yd pass from Rose Jenkins. (Kulture Fulture kick),6,7
5,2,TD,8:56,Aksel Danielsson 2 yd run. (Kulture Fulture XP no good),6,13
7,3,TD,11:42,Josh Parker 5 yd pass from Rose Jenkins. (Kulture Fulture kick),6,20
8,3,TD,0:19,Ludicolo Bigby 1 yd run. (Alex Dasistwirklichseinnachname kick),13,20
10,4,TD,8:43,Kazimir Oles 9 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),20,20
11,4,FG,5:28,47 yd FG by Kulture Fulture,20,23
12,4,FG,0:25,55 yd FG by Alex Dasistwirklichseinnachname,23,23
14,5,TD,10:53,Aksel Danielsson 5 yd pass from Rose Jenkins.,23,29
