Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG
"Hockhertz, M.",CHI,8,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Lee, L.",CHI,7,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Castle, S.",CHI,6,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Ridley, X.",CHI,4,0,0,0/0,5,1,0,1,"[0, 0, 0]"
"Vassallo, S.",CHI,4,1,1,0/0,0,0,0,0,"[0, 0, 0]"
"Beat, N.",CHI,3,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Rambo, J.",CHI,3,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Z, D.",CHI,3,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Harris, B.",CHI,2,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Bacon, T.",CHI,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Skarsgard, T.",CHI,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Firestorm-Fjord, O.",CHI,0,0,0,0/1,0,0,0,0,"[0, 0, 0]"
"McKinnie, L.",AZ,12,0,0,1/0,0,0,0,0,"[0, 0, 0]"
"Knight, L.",AZ,8,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Wilf, G.",AZ,8,0,1,0/0,1,0,0,0,"[0, 0, 0]"
"Scarlett, D.",AZ,7,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Masters, S.",AZ,4,0,2,0/0,0,0,0,0,"[0, 0, 0]"
"Montgomery, B.",AZ,4,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Nkiah, J.",AZ,4,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Morris, R.",AZ,3,1,1,0/0,0,0,0,0,"[0, 0, 0]"
"Smart, M.",AZ,3,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Miller, P.",AZ,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
