,Q,Score Type,Time Remaining,Play,COL,NO
1,1,FG,6:17,19 yd FG by Silver Banana (R),3,0
2,1,TD,4:02,Jed Podolak 23 yd pass from Stan Francisco. (Herbert Prohaska kick),3,7
4,2,TD,13:27,Deon Taylor 24 yd interception return. (Herbert Prohaska kick),3,14
5,2,FG,7:59,28 yd FG by Herbert Prohaska,3,17
6,2,TD,5:03,Jed Podolak 11 yd pass from Stan Francisco. (Herbert Prohaska kick),3,24
7,2,FG,1:31,34 yd FG by Silver Banana (R),6,24
8,2,FG,0:25,48 yd FG by Herbert Prohaska,6,27
10,3,TD,5:48,Bona'beri Jones 43 yd pass from Stan Francisco. (Herbert Prohaska kick),6,34
11,3,TD,2:07,Earl Sauce 6 yd pass from Wolfie McDummy. (Silver Banana (R) kick),13,34
13,4,FG,9:25,47 yd FG by Herbert Prohaska,13,37
