,Q,Score Type,Time Remaining,Play,PHI,CHI
1,1,TD,8:34,Randy Vuxta 7 yd pass from Brock Phoenix. (Venus Powers kick),7,0
2,1,TD,8:17,Ryan Leaf Jr. 102 yd kickoff return. (Diego Espinosa kick),7,7
3,1,TD,2:01,Sean O'Leary 17 yd pass from Rose Jenkins. (Diego Espinosa kick),7,14
5,2,FG,8:33,28 yd FG by Venus Powers,10,14
7,3,TD,11:25,Sean O'Leary 2 yd pass from Rose Jenkins. (Diego Espinosa kick),10,21
8,3,FG,6:57,45 yd FG by Venus Powers,13,21
9,3,TD,3:02,Ryan Leaf Jr. 4 yd run. (Diego Espinosa kick),13,28
11,4,TD,12:01,Farley Hank 1 yd run. (Diego Espinosa kick),13,35
12,4,TD,6:56,Sean O'Leary 5 yd pass from Rose Jenkins. (Diego Espinosa kick),13,42
13,4,FG,4:11,22 yd FG by Diego Espinosa,13,45
