,Q,Score Type,Time Remaining,Play,BAL,COL
1,1,TD,4:33,Darrel Williams 3 yd pass from Corvo Havran. (Kulture Fulture kick),7,0
2,1,FG,0:58,27 yd FG by Silver Banana (R),7,3
4,2,TD,9:21,Errol Maddox 19 yd pass from Corvo Havran. (Kulture Fulture kick),14,3
5,2,TD,6:38,Earl Sauce 5 yd pass from Wolfie McDummy. (Silver Banana (R) kick),14,10
6,2,FG,3:15,44 yd FG by Kulture Fulture,17,10
7,2,TD,1:03,Ashley Owens 5 yd pass from Wolfie McDummy. (Silver Banana (R) kick),17,17
9,3,TD,9:24,Michael Vincent 4 yd run. (Silver Banana (R) kick),17,24
10,3,FG,3:27,36 yd FG by Silver Banana (R),17,27
11,3,TD,0:00,Apollo Reed 8 yd pass from Corvo Havran. (Kulture Fulture kick),24,27
13,4,FG,3:31,42 yd FG by Silver Banana (R),24,30
14,4,TD,2:27,Ashley Owens 21 yd pass from Wolfie McDummy. (Silver Banana (R) kick),24,37
15,4,TD,0:00,Errol Maddox 48 yd pass from Corvo Havran. (Kulture Fulture kick),31,37
