,Q,Score Type,Time Remaining,Play,YKW,CHI
1,1,FG,8:48,44 yd FG by Dougie Smalls (R),3,0
3,2,FG,9:33,33 yd FG by Diego Espinosa,3,3
4,2,FG,3:04,28 yd FG by Dougie Smalls (R),6,3
6,3,TD,8:45,Nate Swift 14 yd pass from Cooter Bigsby. (Dougie Smalls (R) kick),13,3
7,3,TD,4:47,Sean O'Leary 6 yd pass from Rose Jenkins. (Diego Espinosa kick),13,10
9,4,TD,14:06,Ryan Leaf Jr. 5 yd run. (Diego Espinosa kick),13,17
10,4,TD,10:45,Orien Drake 1 yd run. (Dougie Smalls (R) kick),20,17
11,4,FG,3:53,26 yd FG by Diego Espinosa,20,20
12,4,TD,2:51,Farley Hank 1 yd run. (Diego Espinosa kick),20,27
13,4,TD,0:03,Rayne Gordon 4 yd pass from Cooter Bigsby. (Dougie Smalls (R) XP no good),26,27
