,Q,Score Type,Time Remaining,Play,OCO,AUS
1,1,TD,10:39,Hugh Mongo 15 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),7,0
2,1,TD,8:34,Rod Tidwell 27 yd pass from Easton Cole. (Alfredo Crisco kick),7,7
4,2,TD,13:32,Franklin Armstrong 2 yd run. (Alex Dasistwirklichseinnachname kick),14,7
5,2,FG,9:19,46 yd FG by Alfredo Crisco,14,10
6,2,TD,3:25,Ludicolo Bigby 1 yd run. (Alex Dasistwirklichseinnachname kick),21,10
7,2,FG,0:00,39 yd FG by Alex Dasistwirklichseinnachname,24,10
9,3,FG,6:52,52 yd FG by Alex Dasistwirklichseinnachname,27,10
10,3,FG,1:37,29 yd FG by Alex Dasistwirklichseinnachname,30,10
12,4,TD,14:06,Mako Mendonca 4 yd run. (Alfredo Crisco kick),30,17
13,4,TD,7:27,Tatsu Nakamura (R) 3 yd run. (Alex Dasistwirklichseinnachname kick),37,17
14,4,TD,0:08,Rod Tidwell 17 yd pass from Easton Cole. (Alfredo Crisco XP no good),37,23
