,Q,Score Type,Time Remaining,Play,SAR,AUS
1,1,FG,3:47,19 yd FG by Diego Espinosa,3,0
3,2,FG,15:00,31 yd FG by Alfredo Crisco,3,3
4,2,TD,9:33,Ryan Leaf Jr. 1 yd run. (Alfredo Crisco kick),3,10
5,2,TD,8:26,Mako Mendonca 1 yd run. (Alfredo Crisco kick),3,17
6,2,FG,4:15,44 yd FG by Diego Espinosa,6,17
8,3,TD,11:12,Ryan Leaf Jr. 6 yd pass from Easton Cole. (Alfredo Crisco kick),6,24
9,3,TD,6:33,Paco McTaco 1 yd run. (Diego Espinosa kick),13,24
10,3,TD,4:43,Rod Tidwell 10 yd pass from Easton Cole. (Alfredo Crisco kick),13,31
11,3,FG,0:47,44 yd FG by Alfredo Crisco,13,34
13,4,FG,11:42,39 yd FG by Diego Espinosa,16,34
14,4,FG,7:24,27 yd FG by Alfredo Crisco,16,37
15,4,FG,1:47,41 yd FG by Alfredo Crisco,16,40
16,4,TD,1:05,Ryan Leaf Jr. 6 yd run. (Alfredo Crisco kick),16,47
