,Q,Score Type,Time Remaining,Play,AZ,CHI
1,1,TD,8:32,Zamir Kehla (R) 27 yd interception return. (J.J. Jay-Jaymison kick),7,0
2,1,FG,3:58,30 yd FG by J.J. Jay-Jaymison,10,0
4,2,FG,14:50,23 yd FG by Sam Sidekick (R),10,3
5,2,FG,11:29,34 yd FG by J.J. Jay-Jaymison,13,3
6,2,FG,4:36,30 yd FG by J.J. Jay-Jaymison,16,3
7,2,FG,0:22,32 yd FG by Sam Sidekick (R),16,6
9,3,TD,14:08,Baby Yoda (R) 1 yd run. (J.J. Jay-Jaymison kick),23,6
10,3,TD,9:38,Julio Tirtawidjaja (R) 3 yd run. (Sam Sidekick (R) kick),23,13
11,3,FG,3:15,46 yd FG by Sam Sidekick (R),23,16
13,4,FG,9:50,21 yd FG by J.J. Jay-Jaymison,26,16
