,Q,Score Type,Time Remaining,Play,SAR,OCO
1,1,FG,6:41,21 yd FG by Diego Espinosa,3,0
2,1,TD,3:19,Michael Witheblock (R) 10 yd pass from Zack Vega. (Diego Espinosa XP no good),9,0
4,2,FG,14:23,26 yd FG by Alex Dasistwirklichseinnachname,9,3
5,2,FG,5:20,30 yd FG by Diego Espinosa,12,3
6,2,TD,1:26,Hugh Mongo 13 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),12,10
8,3,TD,11:21,Future Trunks 9 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),12,17
9,3,TD,4:51,Tatsu Nakamura (R) 1 yd run. (Alex Dasistwirklichseinnachname kick),12,24
11,4,TD,13:29,Tatsu Nakamura (R) 7 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),12,31
12,4,TD,8:34,Dax Frost 4 yd run. (Diego Espinosa kick),19,31
13,4,FG,0:02,17 yd FG by Alex Dasistwirklichseinnachname,19,34
14,4,TD,0:00,Rayne Gordon 105 yd kickoff return. (Diego Espinosa kick),26,34
